CODGEO;NAISD14
13201;656
13202;470
13203;1050
13204;673
13205;638
13206;587
13207;384
13208;938
13209;840
13210;759
13211;677
13212;714
13213;1300
13214;1153
13215;1453
13216;319
69381;406
69382;394
69383;1508
69384;464
69385;524
69386;631
69387;1313
69388;1433
69389;941
75101;185
75102;371
75103;383
75104;266
75105;471
75106;357
75107;502
75108;452
75109;847
75110;1355
75111;2023
75112;2011
75113;2117
75114;1676
75115;3013
75116;1765
75117;2408
75118;3164
75119;2974
75120;2794
