CODGEO;NAISD14
01001;8
01002;3
01004;238
01005;17
01006;1
01007;34
01008;10
01009;3
01010;10
01011;3
01012;4
01013;2
01014;28
01015;6
01016;7
01017;4
01019;0
01021;18
01022;13
01023;2
01024;39
01025;33
01026;15
01027;34
01028;7
01029;4
01030;14
01031;55
01032;65
01033;168
01034;120
01035;4
01036;5
01037;6
01038;9
01039;5
01040;5
01041;15
01042;1
01043;39
01044;7
01045;6
01046;12
01047;19
01049;30
01050;3
01051;3
01052;3
01053;546
01054;24
01056;6
01057;2
01058;6
01059;4
01060;4
01061;17
01062;13
01063;4
01064;8
01065;21
01066;2
01067;3
01068;5
01069;14
01071;53
01072;34
01073;13
01074;26
01075;19
01076;1
01077;2
01078;17
01079;6
01080;3
01081;10
01082;4
01083;10
01084;9
01085;3
01087;1
01088;6
01089;29
01090;3
01091;36
01092;13
01093;51
01094;9
01095;12
01096;16
01097;0
01098;12
01099;18
01100;0
01101;4
01102;13
01103;14
01104;5
01105;12
01106;1
01107;0
01108;9
01109;18
01110;1
01111;2
01112;6
01113;6
01114;8
01115;29
01116;6
01117;3
01118;9
01119;3
01121;0
01122;7
01123;12
01124;9
01125;6
01127;6
01128;4
01129;1
01130;20
01133;5
01134;19
01135;10
01136;6
01138;32
01139;6
01140;12
01141;3
01142;72
01143;84
01144;13
01145;10
01146;5
01147;5
01148;16
01149;11
01150;2
01151;9
01152;7
01153;12
01154;11
01155;0
01156;4
01157;21
01158;4
01159;37
01160;98
01162;0
01163;23
01165;17
01166;29
01167;6
01169;5
01170;13
01171;8
01172;1
01173;156
01174;1
01175;10
01176;1
01177;1
01179;27
01180;4
01181;13
01182;4
01183;16
01184;5
01185;32
01186;1
01187;8
01188;7
01189;16
01190;0
01191;5
01192;24
01193;0
01194;60
01195;26
01196;23
01197;4
01198;6
01199;23
01200;0
01202;88
01203;11
01204;0
01205;13
01206;2
01207;8
01208;0
01209;13
01210;1
01211;14
01212;9
01213;20
01214;3
01215;0
01216;4
01218;1
01219;1
01221;0
01224;57
01225;6
01227;5
01228;7
01229;18
01230;1
01231;12
01232;24
01233;2
01234;2
01235;14
01236;13
01237;17
01238;29
01239;6
01240;8
01241;9
01242;2
01243;6
01244;112
01245;10
01246;30
01247;2
01248;19
01249;139
01250;16
01252;8
01254;16
01255;13
01257;5
01258;15
01259;3
01260;5
01261;7
01262;114
01263;34
01264;14
01265;39
01266;19
01267;8
01268;1
01269;54
01271;9
01272;20
01273;32
01274;5
01275;33
01276;23
01277;2
01279;2
01280;4
01281;49
01282;5
01283;300
01284;9
01285;11
01286;3
01288;19
01289;52
01290;8
01291;6
01292;1
01293;1
01294;14
01295;15
01296;3
01297;6
01298;2
01299;7
01300;4
01301;28
01302;2
01303;20
01304;40
01305;14
01306;16
01307;12
01308;4
01309;2
01310;2
01311;0
01312;5
01313;76
01314;20
01316;1
01317;1
01318;6
01319;8
01320;43
01321;11
01322;44
01323;14
01325;6
01328;4
01329;0
01330;1
01331;0
01332;7
01333;31
01334;6
01335;5
01336;21
01337;12
01338;5
01339;19
01340;2
01341;1
01342;8
01343;16
01344;57
01345;25
01346;16
01347;14
01348;30
01349;5
01350;17
01351;21
01352;6
01353;15
01354;113
01355;6
01356;1
01357;6
01358;4
01359;0
01360;13
01361;9
01362;11
01363;20
01364;13
01365;15
01366;15
01367;11
01368;10
01369;7
01370;19
01371;23
01372;2
01373;7
01374;20
01375;10
01376;56
01378;22
01379;9
01380;6
01381;15
01382;2
01383;13
01384;28
01385;12
01386;13
01387;4
01388;4
01389;19
01390;14
01391;3
01392;3
01393;7
01396;14
01397;9
01398;13
01399;16
01400;0
01401;17
01402;5
01403;16
01404;2
01405;16
01406;1
01407;14
01408;7
01409;0
01410;1
01411;4
01412;5
01413;1
01414;0
01415;1
01416;11
01417;2
01418;11
01419;53
01420;25
01421;8
01422;14
01423;12
01424;14
01425;1
01426;25
01427;89
01428;1
01429;4
01430;4
01431;17
01432;8
01433;7
01434;11
01435;17
01436;4
01437;1
01439;2
01441;8
01442;2
01443;52
01444;9
01445;6
01446;22
01447;15
01448;7
01449;12
01450;42
01451;61
01452;11
01453;4
01454;15
01456;0
01457;32
02001;5
02002;6
02003;6
02004;2
02005;3
02006;2
02007;3
02008;4
02009;8
02010;1
02011;5
02012;0
02013;6
02014;9
02015;0
02016;3
02017;2
02018;29
02019;2
02020;8
02021;0
02022;4
02023;3
02024;1
02025;6
02026;3
02027;0
02028;30
02029;7
02030;1
02031;11
02032;1
02033;0
02034;0
02035;2
02036;1
02037;15
02038;0
02039;1
02040;2
02041;9
02042;2
02043;1
02044;0
02046;8
02047;1
02048;0
02049;12
02050;6
02051;2
02052;0
02053;1
02054;4
02055;0
02056;1
02057;13
02058;8
02059;28
02060;2
02061;5
02062;2
02063;6
02064;38
02065;6
02066;2
02067;1
02068;0
02069;1
02070;4
02071;10
02072;0
02073;8
02074;5
02075;1
02076;0
02077;1
02078;7
02079;3
02080;2
02081;7
02082;2
02083;8
02084;3
02085;11
02086;12
02087;0
02088;0
02089;18
02090;3
02091;1
02093;12
02094;2
02095;84
02096;1
02097;2
02098;4
02099;2
02100;3
02101;0
02102;4
02103;14
02104;0
02105;2
02106;10
02107;5
02108;1
02109;2
02110;32
02111;5
02112;6
02114;7
02115;1
02116;4
02117;0
02118;1
02119;4
02120;0
02121;0
02122;0
02123;1
02124;8
02125;4
02126;3
02127;2
02128;12
02129;1
02130;3
02131;14
02132;6
02133;7
02134;7
02135;15
02136;0
02137;1
02138;6
02139;6
02140;5
02141;19
02142;5
02143;2
02144;1
02145;7
02146;0
02147;2
02148;4
02149;2
02150;1
02151;1
02152;2
02153;3
02154;2
02155;4
02156;0
02157;3
02158;1
02159;2
02160;5
02161;1
02162;2
02163;36
02164;7
02165;14
02166;5
02167;8
02168;217
02169;1
02170;1
02171;1
02172;3
02173;161
02174;5
02175;1
02176;5
02177;1
02178;3
02179;2
02180;8
02181;0
02182;2
02183;1
02184;6
02185;8
02186;15
02187;11
02188;2
02189;4
02190;5
02191;10
02192;4
02193;1
02194;4
02195;10
02196;3
02197;10
02198;1
02199;13
02200;1
02201;3
02203;22
02204;0
02205;3
02206;0
02207;1
02208;7
02209;12
02210;4
02211;4
